date,value
1988-01-01,7.28
1989-01-01,17.10
1990-01-01,-17.96
1991-01-01,7.85
1992-01-01,-4.61
1993-01-01,28.98
1994-01-01,-2.50
1995-01-01,11.86
1996-01-01,25.74
1997-01-01,13.03
1998-01-01,-3.19
1999-01-01,29.72
2000-01-01,6.18
2001-01-01,-13.94
2002-01-01,-13.97
2003-01-01,24.29
2004-01-01,12.48
2005-01-01,21.91
2006-01-01,14.51
2007-01-01,7.16
2008-01-01,-35.03
2009-01-01,30.69
2010-01-01,14.45
2011-01-01,-11.07
2012-01-01,4.00
2013-01-01,9.55
2014-01-01,7.42
2015-01-01,-11.09
2016-01-01,17.51
2017-01-01,6.03
2018-01-01,-11.64
2019-01-01,19.13
2020-01-01,2.17
2021-01-01,21.74
2022-01-01,-8.66
2023-01-01,8.12
